knee_X	knee_Y	knee_Z
	23.030855	-0.206898	-22.470215
	24.949032	-0.053504	-22.437316
	26.743712	0.066098	-22.343960
	28.383818	0.149311	-22.159157
	29.846206	0.199038	-21.875835
	31.116423	0.223552	-21.510869
	32.187988	0.234662	-21.099081
	33.060571	0.244868	-20.686857
	33.737958	0.264514	-20.324359
	34.226349	0.299868	-20.053651
	34.533492	0.352544	-19.897639
	34.668971	0.419559	-19.858042
	34.645264	0.493786	-19.921897
	34.478394	0.565299	-20.068903
	34.186035	0.623556	-20.276881
	33.784117	0.659607	-20.526366
	33.285751	0.667535	-20.802315
	32.701968	0.644985	-21.092514
	32.041981	0.592765	-21.386936
	31.313486	0.513692	-21.679479
	30.523619	0.411555	-21.967899
	29.680008	0.290816	-22.249884
	28.790985	0.156327	-22.519645
	27.865073	0.012374	-22.768879
	26.910718	-0.138187	-22.989237
	25.936326	-0.294037	-23.173108
	24.950264	-0.455150	-23.314274
	23.960944	-0.622358	-23.409423
	22.977019	-0.796323	-23.457908
	22.007392	-0.976390	-23.459534
	21.060981	-1.160266	-23.413730
	20.146675	-1.344382	-23.321346
	19.273763	-1.524448	-23.187281
	18.452437	-1.696212	-23.021372
	17.694002	-1.856203	-22.836676
	17.010932	-2.001971	-22.647290
	16.416824	-2.132028	-22.466901
	15.926233	-2.245879	-22.307162
	15.554487	-2.344120	-22.176849
	15.317183	-2.428350	-22.082572
	15.229396	-2.500796	-22.028840
	15.305142	-2.563717	-22.016652
	15.556906	-2.618753	-22.042763
	15.994951	-2.666393	-22.100501
	16.626942	-2.705790	-22.181240
	17.458105	-2.734878	-22.276114
	18.491200	-2.750412	-22.377224
	19.725851	-2.747781	-22.477952
	21.157494	-2.721145	-22.573819
	22.776530	-2.664342	-22.664038
	24.567969	-2.572090	-22.751539
	26.511601	-2.441008	-22.840835
	28.582772	-2.270490	-22.935665
	30.753732	-2.063234	-23.038270
	32.995410	-1.825258	-23.149813
	35.279353	-1.565391	-23.270694
	37.579420	-1.294023	-23.400964
	39.873019	-1.021488	-23.540782
	42.142055	-0.756909	-23.690420
	44.373561	-0.507533	-23.849943
	46.559408	-0.278283	-24.018570
	48.694995	-0.071356	-24.193843
	50.777682	0.114254	-24.371550
	52.805569	0.283074	-24.546800
	54.776898	0.442687	-24.715453
	56.690128	0.602771	-24.875323
	58.543848	0.774645	-25.026827
	60.336004	0.971018	-25.172477
